MBID,PdName,BdID,CsID,SrID,Factor,Rslots,Maxfreq,Pslots,PCIE3X16,PCIE3X8,PCIE3X4,PCIE3X2,PCIE3X1,PCIE2,PCI,Vports,Dvi,HDMI,DP,Dsub,Mslots,M2_1Sata,M2_2Sata,M2_3Sata,M2_1PCIE,M2_2PCIE,M2_3PCIE,M2_1PCIE2,Sata6G,U2,Uports_B,Uports_O,Uports,USB2,USB31G1,USB31G2,TypeC_G1,TypeC_G2,USB_MB2,USB_MB3g1,USB_MB3g2,TypeC_MBG1,TypeC_MBG2,RJ45,Lan1ID,Lan2ID,Lan3ID,WfBt,WfID,M2_Ekey,Bluetooth,AudioOpt,TRS,SPDIF,SPDIF_MB,DacID,AcID,Fslots,CPU_Opt,Sys_Fan,3ASys_Fan,AIO_Pump,W_Pump,M2_Fan,Lheads,RGB_Header,RGBW_Header,Digital_LED,5050JRGB_12V,5050JRGB_5V,WS2812B_RGB,CORSAIR_RGB,LED_header,Cslots,COMPort ,LPTPort ,COMPort_MB,LPTPort_MB,PS2,Sheads,Thunderbolt,Altive_Headers,Heat_Sensers,Raid,M2_Raid,IRST,ISRT,Optane
46,B360M Gaming HD,2,3002,G01,2,2,2666,2,1,,,,1,,,2,,1,,1,1,1,,,4,,,,4,,6,3,9,2,4,,,,2,1,,,,1,1,,,,,,,3,,,,,1,1,,1,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,1
47,B360N Wi-Fi,2,3002,G01,3,2,2666,1,1,,,,,,,2,,2,,,1,1,,,4,,,,4,,6,2,8,2,4,,,,1,1,,,,2,1,1,,2,1,,5,6,,,1,,1,2,,2,,,,,1,1,,,,,,,,4,,,4,,1,,,,,,,,,1
48,H370 HD3,2,3003,G01,1,4,2666,7,1,,1,,4,,1,3,1,1,,1,2,,1,,4,2,,,6,,9,3,12,2,5,1,1,,2,1,,,,1,1,,,1,,1,,6,,,1,,1,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,1,1,,,1,,,,1
49,H370M D3H,2,3003,G01,2,4,2666,3,1,,1,,1,,,3,1,1,,1,2,1,,,2,4,,,6,,9,3,12,2,4,2,,1,2,1,,,,1,1,,,1,,1,,6,,,1,,2,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,1,,,,1
50,H370N Wi-Fi,2,3003,G01,3,2,2666,1,1,,,,,,,2,,1,1,,2,1,,,4,4,,,4,,6,2,8,,5,,1,,1,1,,,,2,1,1,,2,1,,5,3,,,1,,4,2,,2,,,,,2,,1,1,,,,,,,,,,,,,,,,1,,,,1
51,H370 Aorus Gaming 3 Wi-Fi,2,3003,G02,1,4,2666,6,1,,1,,4,,,2,1,1,,,2,,1,,4,2,,,6,,8,5,13,4,2,1,,1,2,2,,1,,1,1,,,3,1,1,5,6,,,1,,4,4,,2,,1,1,,4,,2,2,,,,,,1,,,1,,1,1,1,,,1,,,,1
52,Z370 Aorus Gaming 7-OP,2,3004,G02,1,4,4133,6,1,1,1,,3,,,2,,1,1,,2,1,,,4,4,,,6,,8,4,12,,5,2,,1,2,1,,,1,2,1,3,,,,,,5,,1,1,1,3,7,,4,1,1,1,,4,,2,2,,,,,,,,,,,1,3,1,,2,1,,,,1
53,Z370 Aorus Gaming 7,2,3004,G02,1,4,4133,6,1,1,1,,3,,,2,,1,1,,2,1,,,4,4,,,6,,8,5,13,,5,2,,1,2,1,1,,1,2,1,3,,,,,,5,,1,1,1,3,7,,4,1,1,1,,2,,,2,,,,,,,,,,,1,3,1,,2,1,,,,1
54,Z370 Aorus Gaming 5,2,3004,G02,1,4,4133,6,1,1,1,,3,,,2,,1,1,,2,1,,,4,4,,,6,,9,4,13,2,4,2,,1,2,1,,1,,1,1,,,2,1,,4.2,5,,1,1,,3,7,,4,1,1,1,,4,,2,2,,,,,,,,,,,1,3,1,,2,1,,,,1
55,Z370 Aorus Gaming 3,2,3004,G02,1,4,4000,6,1,,1,,4,,,1,,1,,,2,1,,,4,4,,,6,,9,4,13,2,4,2,,1,2,1,,1,,1,3,,,,,,,6,,,1,,3,4,,2,,1,1,,4,,2,2,,,,,,,,,,,1,1,1,,,1,,,,1
56,Z370 Aorus Gaming K3,2,3004,G02,1,4,4000,6,1,,1,,4,,,2,1,1,,,2,1,,,4,4,,,6,,9,4,13,2,4,2,,1,2,2,,,,1,1,,,,,,,6,,,1,,3,4,,2,,1,1,,4,,2,2,,,,,,,,,,,1,1,1,,,1,,,,1
57,Z370XP SLI,2,3004,G01,1,4,4000,6,1,1,1,,3,,,1,,1,,,2,1,,,4,4,,,6,,9,4,13,,6,2,,1,2,2,,,,1,1,,,,,,,6,,,1,,3,4,,2,,1,1,,1,1,,,,,,,,2,,,1,1,2,1,1,,,1,,,,1
58,Z370 HD3P,2,3004,G01,1,4,4000,7,1,,1,,4,,1,3,1,1,,1,2,1,,,4,4,,,6,,9,5,14,2,4,2,,1,2,2,,1,,1,1,,,,,,,6,,,1,,3,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,1,,,,1
59,Z370 HD3,2,3004,G01,1,4,4000,6,1,,2,,3,,,2,1,1,,,1,1,,,4,,,,6,,6,4,10,2,4,,,,2,2,,,,1,1,,,,,,,6,,,1,,2,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,1,,,,1
60,Z370P D3,2,3004,G01,1,4,4000,6,1,,2,,3,,,1,,1,,,1,1,,,4,,,,6,,6,3,9,2,4,,,,2,1,,,,1,1,,,,,,,3,,,1,,1,3,,3,,,,,1,1,,,,,,,,1,,,1,,2,,,,,1,,,,1
61,Z370M DS3H ,2,3004,G01,2,4,3866,3,1,,,,2,,,2,1,1,,,1,1,,,4,,,,6,,6,3,9,2,4,,,,2,1,,,,1,1,,,,,,,3,,,1,,1,1,,1,,,,,,,,,,,,,,2,,,1,1,1,,,,,1,,,,1
62,Z370M D3H,2,3004,G01,2,4,4000,4,1,,1,,2,,,2,1,1,,,2,1,,,4,4,,,6,,8,3,11,,7,,1,,2,1,,,,1,1,,,,,,,6,,,1,,2,3,,3,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,1,,,,1
63,Z370N Wi-Fi,2,3004,G01,3,2,4400,1,1,,,,,,,3,,2,1,,2,1,,,4,4,,,4,,8,2,10,,7,,,1,1,1,,,,2,1,1,,2,1,,4.2,3,,,1,,3,2,,2,,,,,2,,1,1,,,,,,,,,,,,,,,,1,,,,1
64,Z370 Godlike Gaming,3,3004,M04,4,4,4133,5,1,1,2,,1,,,,,,,,3,1,1,1,4,4,4,,6,1,9,6,15,,6,2,,1,3,2,1,,,3,3,3,3,3,4,1,4.1,5,1,1,,2,8,9,,8,,1,,,2,,,,1,1,,,,,,,,,1,3,,,3,1,1,,,1
65,Z370 Gaming M5,3,3004,M04,1,4,4000,6,1,1,1,,3,,,2,,1,1,,2,1,1,,4,4,,,6,,8,3,11,3,2,2,,1,2,1,,,,1,3,,,,,,,5,,1,,,3,5,,4,,1,,,1,1,,,,,,,,,,,,,1,,,,,1,1,,,1
66,Z370 Gaming Pro Carbon AC,3,3004,M03,1,4,4000,6,1,1,1,,3,,,2,,1,1,,2,1,1,,4,4,,,6,,9,4,13,2,4,2,,1,2,2,,,,1,2,,,2,2,,4.2,5,,1,,,3,5,,4,,1,,,3,,,,1,,1,1,,,,,,,1,,,,,1,1,,,1
67,Z370 KRAIT Gaming,3,3004,M03,1,4,4000,6,1,1,1,,3,,,2,1,1,,,2,1,1,,4,4,,,6,,9,4,13,2,4,2,,1,2,2,,,,1,2,,,,,,,5,,1,,,3,5,,4,,1,,,1,1,,,,,,,,1,,,1,,1,,,,,1,1,,,1
68,Z370 Gaming Plus,3,3004,M03,1,4,4000,6,1,,1,,4,,,3,1,,1,1,1,1,,,4,,,,6,,6,4,10,2,4,,,,2,2,,,,1,2,,,,,,,6,,,,,2,5,,4,,1,,,1,1,,,,,,,,2,,,1,1,1,,,,,1,,,,1
69,Z370M Gaming Pro AC,3,3004,M03,2,4,4000,4,1,1,,,2,,,2,,1,1,,2,1,1,,4,4,,,4,,7,5,12,,4,2,,1,2,2,,,1,1,2,,,2,2,,4.2,5,,1,,,3,4,,3,,1,,,1,1,,,,,,,,1,,,1,,2,,,,,1,1,,,1
70,Z370I Gaming Pro Carbon AC,3,3004,M03,3,2,4500,1,1,,,,,,,2,,1,1,,1,1,,,4,,,,4,,7,2,9,2,2,2,,1,1,1,,,,1,2,,,2,2,,4.2,5,,1,,,3,1,,1,,,,,2,,,,1,,,1,,,,,,,1,,,,,1,,,,1
71,H370 Gaming Pro Carbon,3,3003,M03,1,4,2666,5,1,,1,,3,,,2,,1,1,,2,1,,,4,4,,,6,,9,6,15,2,4,2,,1,2,2,1,,1,1,2,,,,,,,5,,1,,,3,6,,5,,1,,,3,,,,1,,1,1,,,,,,,1,,,,,1,1,,,1
72,H370 Gaming Plus,3,3003,M03,1,4,2666,6,1,,1,,4,,,2,1,,1,,1,1,,,4,,,,5,,7,4,11,2,2,2,,1,2,2,,,,1,2,,,,,,,6,,,,,2,6,,5,,1,,,1,,,,1,,,,,2,,,1,1,1,1,1,,,1,,,,1
73,B360 Gaming Pro Carbon,3,3002,M03,1,4,2666,5,1,,1,,3,,,2,,1,1,,2,1,,,4,4,,,6,,7,5,12,2,2,2,,1,2,1,1,,1,1,2,,,,,,,5,,1,,,3,6,,5,,1,,,3,,,,1,,1,1,,,,,,,1,,,,,,,,,1
74,B360 Gaming Plus,3,3002,M03,1,4,2666,6,1,,1,,4,,,2,1,,1,,1,1,,,4,,,,5,,7,3,10,2,2,2,,1,2,1,,,,1,2,,,,,,,6,,,,,2,6,,5,,1,,,1,,,,1,,,,,2,,,1,1,1,1,1,,,,,,,1
75,B360 Gaming Arctic,3,3002,M03,1,4,2666,6,1,,1,,4,,,2,1,,1,,1,1,,,4,,,,5,,7,3,10,2,2,2,,1,2,1,,,,1,2,,,,,,,6,,,,,2,6,,5,,1,,,1,,,,1,,,,,2,,,1,1,1,1,1,,,,,,,
76,B360m Gaming Plus,3,3002,M03,2,2,2666,3,1,,,,2,,,3,1,1,,1,1,1,,,4,,,,6,,7,3,10,2,4,,1,,2,1,,,,1,2,,,,,,,3,,,,,1,2,,2,,,,,1,1,,,,,,,,2,,,1,1,1,,,,,,,,,
77,B360I Gaming Pro AC,3,3002,M03,3,4,2666,1,1,,,,,,,2,1,,1,,1,1,,,4,,,,4,,6,2,8,2,2,2,,,1,1,,,,1,5,,,2,3,,5,6,,,,,9,2,,2,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,1
78,H310M Gaming Plus,3,3001,M03,2,2,2666,3,1,,,,2,,,2,1,1,,,1,1,,,4,,,,4,,6,2,8,4,2,,,,1,1,,,,1,2,,,,,,,3,,,,,10,1,,1,,,,,1,,,,,,,,1,1,,,1,,1,,,,,,,,,
