MBID,PdName,BdID,CsID,SrID,Factor,Rslots,Maxfreq,Pslots,PCIE3X16,PCIE3X8,PCIE3X4,PCIE3X2,PCIE3X1,PCIE2,PCI,Vports,Dvi,HDMI,DP,Dsub,Mslots,M2_1Sata,M2_2Sata,M2_3Sata,M2_1PCIE,M2_2PCIE,M2_3PCIE,M2_1PCIE2,Sata6G,U2,Uports_B,Uports_O,Uports,USB2,USB31G1,USB31G2,TypeC_G1,TypeC_G2,USB_MB2,USB_MB3g1,USB_MB3g2,TypeC_MBG1,TypeC_MBG2,RJ45,Lan1ID,Lan2ID,Lan3ID,WfBt,WfID,M2_Ekey,Bluetooth,AudioOpt,TRS,SPDIF,SPDIF_MB,DacID,AcID,Fslots,CPU_Opt,Sys_Fan,3ASys_Fan,AIO_Pump,W_Pump,M2_Fan,Lheads,RGB_Header,RGBW_Header,Digital_LED,5050JRGB_12V,5050JRGB_5V,WS2812B_RGB,CORSAIR_RGB,LED_header,Cslots,COMPort ,LPTPort ,COMPort_MB,LPTPort_MB,PS2,Sheads,Thunderbolt,Altive_Headers,Heat_Sensers,Raid,M2_Raid,IRST,ISRT,Optane
79,H310M Gaming Arctic,3,3001,M03,2,2,2666,3,1,,,,2,,,2,1,1,,,1,1,,,4,,,,4,,6,2,8,4,2,,,,1,1,,,,1,2,,,,,,,3,,,,,10,1,,1,,,,,1,,,,,,,,1,1,,,1,,1,,,,,,,,,
80,Z370 Tomahawk,3,3004,M02,1,4,4000,6,1,,1,,4,,,2,1,1,,,2,1,1,,4,4,,,6,,9,3,12,2,4,2,,1,2,1,,,,1,2,,,,,,,5,,1,,,2,5,,4,,1,,,1,1,,,,,,,,1,,,1,,1,,,,,1,1,,,1
81,Z370M Mortar,3,3004,M02,2,4,4000,4,1,,1,,2,,,,,,,,2,,1,,4,4,,,4,,6,4,10,2,4,,,,2,2,,,,1,2,,,,,,,5,,1,,,2,3,,2,,1,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,1
82,H370M Bazooka,3,3003,M02,2,4,2666,3,1,,,,2,,,2,1,1,,,1,1,,,4,,,,6,,7,3,10,2,4,,1,,2,1,,,,1,4,,,,,,,3,,,,,1,2,,2,,,,,1,1,,,,,,,,2,,,1,1,2,1,1,,,1,,,,1
83,B360M Mortar Titanium,3,3002,M02,2,4,2666,4,1,,1,,2,,,3,1,1,1,,2,1,,,4,4,,,4,,7,4,11,4,,2,,1,1,1,1,,1,1,2,,,,,,,5,,1,,,2,3,,3,,,,,1,,,,1,,,,,,,,,,1,1,1,,,,,,,1
84,B360M Mortar,3,3002,M02,2,4,2666,4,1,,1,,2,,,3,1,1,1,,2,1,,,4,4,,,4,,7,4,11,4,,2,,1,1,1,1,,1,1,2,,,,,,,5,,1,,,2,3,,3,,,,,1,,,,1,,,,,,,,,,1,1,1,,,,,,,1
85,B360M Bazooka,3,3002,M02,2,4,2666,3,1,,,,2,,,2,1,1,,,1,1,,,4,,,,6,,7,3,10,2,4,,1,,2,1,,,,1,4,,,,,,,3,,,,,1,2,,2,,,,,1,1,,,,,,,,2,,,1,1,2,,,,,,,,,1
86,Z370 SLI PLUS,3,3004,M01,1,4,4000,6,1,1,1,,3,,,2,1,1,,,2,1,1,,4,4,,,6,,9,4,13,2,4,2,,1,2,2,,,,1,2,,,,,,,5,,1,,,3,0,,4,,1,,,,1,,,,,,,,,,,1,,1,,,,,1,1,,,1
87,Z370 PC Pro,3,3004,M01,1,4,4000,6,1,,1,,3,,1,3,1,1,,1,2,1,1,,4,4,,,6,,9,5,14,2,4,2,,1,4,1,,,,1,2,,,,,,,3,,,,,1,0,,4,,1,,,,1,,,,,,,,,,,1,1,1,,1,,,1,1,,,1
88,Z370 A Pro,3,3004,M01,1,4,4000,6,1,,1,,4,,,3,1,,1,1,1,1,,,4,,,,6,,6,4,10,2,4,,,,2,2,,,,1,4,,,,,,,6,,,,,2,0,,4,,1,,,,,,,,,,,,,,,1,1,1,,1,,,1,,,,1
89,B360-A PRO,3,3002,M01,1,4,2666,6,1,,1,,4,,,2,1,,1,,1,1,,,4,,,,5,,7,3,10,2,2,2,,1,2,1,,,,1,2,,,,,,,6,,,,,2,0,,5,,1,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,1
90,B360-F PRO,3,3002,M01,1,2,2666,18,1,,,,,17,,2,1,1,,,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,2,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
91,B360M PRO-VDH,3,3002,M01,2,4,2666,3,1,,,,2,,,3,1,1,,1,1,1,,,4,,,,6,,7,3,10,2,4,,1,,2,1,,,,1,4,,,,,,,3,,,,,1,0,,2,,,,,,,,,,,,,,,,,1,1,2,,1,,,,,,,1
92,B360M PRO-VH,3,3002,M01,2,2,2666,3,1,,,,2,,,2,,1,,1,1,1,,,4,,,,6,,6,3,9,2,4,,,,2,1,,,,1,4,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1
93,B360M PRO-VD,3,3002,M01,2,2,2666,3,1,,,,2,,,2,1,,,1,1,1,,,4,,,,6,,6,3,9,2,4,,,,2,1,,,,1,4,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1
94,H310-A PRO,3,3001,M01,1,2,2666,7,1,,,,6,,,2,1,1,,,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,2,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
95,H310-F PRO,3,3001,M01,1,2,2666,13,1,,,,,12,,2,1,1,,,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,2,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
96,H310M PRO-M2,3,3001,M01,2,2,2666,3,1,,,,2,,,3,1,1,,1,2,1,,,,,,4,4,,6,2,8,4,2,,,,1,1,,,,1,2,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,
97,H310M PRO-VDH,3,3001,M01,2,2,2666,3,1,,,,,2,,3,1,1,,1,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,4,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,
98,H310M PRO-VHL,3,3001,M01,2,2,2666,4,1,,,,,1,2,2,,1,,1,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,4,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,
99,H310M PRO-VH ,3,3001,M01,2,2,2666,3,1,,,,,2,,2,,1,,1,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,4,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
100,H310M PRO-VD,3,3001,M01,2,2,2666,3,1,,,,,2,,2,1,1,,,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,4,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
101,H310M PRO-VL,3,3001,M01,2,2,2666,3,1,,,,,2,,1,,,,1,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,4,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,
102,H310M PRO-D,3,3001,M01,2,2,2666,3,1,,,,,2,,1,1,,,,,,,,,,,,4,,6,2,8,4,2,,,,1,1,,,,1,4,,,,,,,3,,,,,1,0,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
103,H310I PRO,3,3001,M01,3,2,2666,1,1,,,,,,,2,1,,1,,1,1,,,4,,,,4,,5,2,7,3,2,,,,1,1,,,,1,4,,,1,,1,,3,,,,,1,0,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
