MBID,PdName,Brand,Chipset,Series,Factor,Rslots,Maxfreq,Pslots,PCIE3X16,PCIE3X8,PCIE3X4,PCIE3X2,PCIE3X1,PCIE2,PCI,Vports,Dvi,HDMI,DP,Dsub,Mslots,M2_1Sata,M2_2Sata,M2_3Sata,M2_1PCIE,M2_2PCIE,M2_3PCIE,M2_1PCIE2,Sata6G,U2,Uports_B,Uports_O,Uports,USB2,USB31G1,USB31G2,TypeC_G1,TypeC_G2,USB_MB2,USB_MB3g1,USB_MB3g2,TypeC_MBG1,TypeC_MBG2,RJ45,Ethernet_Lan1,Ethernet_Lan2,Ethernet_Lan3,Function,WiFi,M2_Ekey,Bluetooth,AudioOpt,TRS,SPDIF,SPDIF_MB,DAC,Achipset,Fslots,CPU_Opt,Sys_Fan,3ASys_Fan,AIO_Pump,W_Pump,M2_Fan,Lheads,RGB_Header,RGBW_Header,Digital_LED,5050JRGB_12V,5050JRGB_5V,WS2812B_RGB,CORSAIR_RGB,LED_header,Cslots,COMPort ,LPTPort ,COMPort_MB,LPTPort_MB,PS2,Sheads,Thunderbolt,Altive_Headers,Heat_Sensers,Raid,M2_Raid,IRST,ISRT,Optane
16,B360-H Gaming,Asus,B360,ROG Strix,ATX,4,2666,6,1,,1,,4,,,2,1,1,,,2,1,,,2,4,,,6,,6,3,9,2,2,2,,,2,1,,,,1,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220A,4,1,2,,1,,,1,1,,,,,,,,,,,,,1,1,,,1,,,,,1
17,B360-I Gaming,Asus,B360,ROG Strix,Mini ITX ,2,2666,1,1,,,,,,,2,,1,1,,2,1,,,4,4,,,4,,7,2,9,2,2,2,1,,1,1,,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,5,5,,1,,,ROG SupremeFX S1220A,2,,1,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1
18,Z370-E Gaming,Asus,Z370,ROG Strix,ATX,4,4000,7,2,,1,,4,,,3,1,1,1,,2,,1,,4,4,,,6,,6,5,11,2,1,2,,1,2,2,1,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,4.2,5,,1,,,ROG SupremeFX S1220A,5,1,2,,1,,1,2,2,,,,,,,,1,,,1,,,1,,,1,1,,,,1
19,Z370-F Gaming,Asus,Z370,ROG Strix,ATX,4,4000,7,2,,1,,4,,,3,1,1,1,,2,1,,,4,4,,,6,,7,4,11,2,2,2,,1,2,2,,,,1,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220A,5,1,2,,1,,1,2,2,,,,,,,,1,,,1,,,1,,,1,1,,,,1
20,Z370-G Gaming,Asus,Z370,ROG Strix,mATX ,4,4000,4,2,,,,2,,,2,,1,1,,2,1,,,4,4,,,6,,8,3,11,2,4,2,,,2,1,,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,4.2,5,,1,,,ROG SupremeFX S1220A,4,1,2,,,1,,,,,,,,,,,,,,,,1,1,,,1,1,,,,1
21,Z370-H Gaming,Asus,Z370,ROG Strix,ATX,4,4000,7,2,,,2,3,,,2,1,1,,,2,1,,,4,4,,,6,,8,4,12,2,4,2,,,2,2,,,,1,Intel I219V,,,,,,,5,,1,,,ROG SupremeFX S1220A,4,1,2,,1,,,,,,,,,,,,1,,,1,,1,,,,,1,,,,1
22,Z370-I Gaming,Asus,Z370,ROG Strix,Mini ITX ,2,4333,1,1,,,,,,,2,,1,1,,2,1,,,4,4,,,4,,8,3,11,4,4,,,,1,1,1,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,4.2,5,,1,,,ROG SupremeFX S1220A,1,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,1
23,H370-PRO Gaming (Wi-Fi),Asus,H370,TUF,ATX,4,2666,6,1,,1,,4,,,3,,1,1,1,2,1,,,2,4,,,6,,8,3,11,2,3,2,1,,2,1,,,,1,Intel I219V,,,2,Intel 802.11a/b/g/n/ac,,5,3,,,1,,Realtek ALC887,3,,2,,1,,,1,1,,,,,,,,1,,,1,,1,,,,,1,,1,,1
24,H310-PLUS Gaming,Asus,H310,TUF Gaming,ATX,2,2666,6,1,,,,,2,3,2,,1,,1,1,1,,,2,,,,4,,4,5,9,2,2,,,,4,1,,,,1,Intel I219V,,,,,,,3,,,1,,Realtek ALC887,2,,2,,,,,1,1,,,,,,,,1,1,,,,1,,,,,,,,,
25,H310M-PLUS Gaming,Asus,H310,TUF Gaming,mATX ,2,2666,3,1,,,,,2,,2,1,1,,,1,,,,,,,4,4,,6,4,10,4,2,,,,2,2,,,,1,Intel I219V,,,,,,,3,,,1,,Realtek ALC887,1,,1,,,,,1,1,,,,,,,,1,,,1,,2,,,,,,,,,
